,class,prob1,prob2
0001983a47d6e0fc2a74,0, 99.36,  0.64
0001b3837d42f76b0194,0, 98.72,  1.28
00011dfd4f7a8ab95c43,0, 99.37,  0.63
00010df7634318ff5c73,0, 99.58,  0.42
00019fb1fc433821ef0d,0, 98.99,  1.01
00012867ea868bbf6956,1,  5.94, 94.06
0001d3e574df1c4b74a2,0, 99.35,  0.65
000120ef2d3a24fb9a4b,0, 99.12,  0.88
0001d3fd7cf670f86851,0, 99.23,  0.77
000136215954f70a3805,0, 99.17,  0.83
00016c68f18ca28a4a3b,0, 99.64,  0.36
00015617b56e332b1d87,0, 99.61,  0.39
00017ba06ba9375aa627,0, 99.23,  0.77
0001e2e06363fae9b564,0, 99.17,  0.83
0001b046da2aa9e9256a,0, 99.49,  0.51
000105404eaa7aed1d64,0, 99.28,  0.72
00011e955ee478116440,0, 98.99,  1.01
0001cc324780a3cb998a,0, 99.48,  0.52
00014bd06661b8ec2d2e,0, 99.51,  0.49
0001e8482aaaa6ba222e,0, 99.37,  0.63
00014dbd15638747aa26,0, 99.35,  0.65
0001262ad5d5930bbb7b,0, 96.73,  3.27
0001b8891e01aa218ce1,0, 99.48,  0.52
000147ed50f7528b3feb,0, 99.22,  0.78
00018b913ca6c1c0779f,0, 99.09,  0.91
00019fe8a92bcacef005,0, 99.53,  0.47
000188164db6a81ddb6c,0, 99.04,  0.96
0001eecef01c6635bf67,0, 99.21,  0.79
00016e50ab9ac09323c7,0, 98.77,  1.23
00018eef44bc520c228c,0, 96.42,  3.58
0001d44db4c0e02903e4,0, 98.95,  1.05
000191b429011767d5d4,0, 99.00,  1.00
00010122fd26af1ec569,1,  2.92, 97.08
00014b1be7fafb6b6b19,1, 14.19, 85.81
00011b9ce8cb49477e8a,1,  1.71, 98.29
00010be23eee27bd660c,0, 99.45,  0.55
00018dd49ded67160c91,0, 96.83,  3.17
0001ffa4527198a50f64,0, 98.62,  1.38
000170e17d89deb86c16,0, 99.09,  0.91
0001bab4ec2a919669b8,1,  6.39, 93.61
000104d280e732d5b1ad,0, 98.82,  1.18
0001672a000f45264e7e,0, 99.56,  0.44
000196b8f33b1887a72e,1,  7.89, 92.11
0001a1332a46c0985c15,0, 97.26,  2.74
0001e1dcf3f774c49c2c,0, 99.10,  0.90
0001ad950f292a1033d4,0, 99.19,  0.81
0001174479f2ca0e32ea,0, 99.47,  0.53
000191a62ff8db3e22b9,0, 99.41,  0.59
0001ebfddf88047430b7,0, 80.66, 19.34
00015f6f58845516968a,0, 99.56,  0.44
000127273c205a3afde0,0, 99.37,  0.63
0001a19ef4b14622acdb,0, 97.85,  2.15
0001e3181a95940d35f1,1, 15.32, 84.68
00014ef5e7b6b9f659af,0, 97.74,  2.26
00014752257ff1b34600,1,  9.10, 90.90
000129f6848356a76093,0, 99.56,  0.44
0001e1624facc64b1082,0, 99.35,  0.65
0001f40cb5b453111dab,0, 99.19,  0.81
00014505edaa404fbbb6,0, 96.32,  3.68
0001f94eb4c85123a1b7,0, 98.94,  1.06
0001a9640aae50b486f6,1, 23.43, 76.57
00014a428097eb0ae8ad,1, 25.72, 74.28
0001a7d1eae14f9782cb,0, 94.12,  5.88
000155f24dca85e7914b,0, 98.59,  1.41
00010e8e6639cdc96e11,0, 98.98,  1.02
0001f641ab9e8abd5941,1,  7.19, 92.81
0001fe45d2943933ccfc,0, 99.20,  0.80
000156522403eb028fcb,0, 98.38,  1.62
0001210206ff85793db1,1,  6.31, 93.69
0001c64db80c3114d1aa,1,  3.11, 96.89
00015febe3d35d822a79,1,  9.21, 90.79
00019c6c6fc129bb4cc9,0, 99.37,  0.63
000101ad30e657268df5,0, 98.59,  1.41
00015334a99f84e99f83,0, 96.14,  3.86
00014cd5ea97a7b10e52,0, 99.12,  0.88
000124fc490f374b7d75,1, 19.06, 80.94
0001e5d2d034ca63e865,0, 98.88,  1.12
0001f1a403ea4b92d762,0, 97.33,  2.67
0001551ac886f23f7a02,0, 98.04,  1.96
000136fb818c03fa7e76,0, 97.24,  2.76
00018babaa4c88c1f199,0, 99.58,  0.42
0001a86096ed71f67544,0, 99.42,  0.58
0001327e8aff44ec7446,0, 99.12,  0.88
00012d36d5758288ebf9,0, 97.58,  2.42
0001d0b9f0a7a5f9c08d,0, 99.53,  0.47
0001cba873adaaf4e8fd,0, 99.60,  0.40
0001eda7addf4a5c4c8b,1, 15.01, 84.99
000105dedca6a7864714,0, 98.94,  1.06
000102391c0cd905e999,0, 97.43,  2.57
00012d8ccd97fe530d0d,0, 97.17,  2.83
0001384a8cf596cbdabd,0, 97.71,  2.29
0001df58600d7444494e,1, 28.83, 71.17
00015695f4d92ff1ac70,0, 99.62,  0.38
0001aa92a5311c4e5c4d,0, 99.25,  0.75
00015d249bf3d48ec425,0, 99.57,  0.43
00019f39a1e264567d98,1, 11.05, 88.95
00019061d873b9054d78,0, 98.66,  1.34
000146fd27012b8cd583,0, 99.13,  0.87
0001c0cb12fd86d2dd60,0, 99.17,  0.83
0001ff33cb26432885a4,0, 99.69,  0.31
00014249598ec1441abf,0, 99.14,  0.86
00015373d9bfaa5f675a,0, 99.56,  0.44
0001903a67db6c9e1ee4,0, 99.39,  0.61
0001354e44a6de837a71,1,  6.71, 93.29
00014c0add0cdc1072f3,0, 99.42,  0.58
00018cd737cfbbcd0099,0, 72.38, 27.62
000166d50355354dabb9,0, 99.02,  0.98
000143861f017a577aab,0, 98.89,  1.11
0001e03b81399074401d,0, 99.31,  0.69
000192dd1773cdf8fa5d,0, 99.12,  0.88
0001b96deb531c3c6cd4,0, 98.96,  1.04
0001931a07e700dedf36,0, 99.56,  0.44
0001f511484bae9b4bf1,0, 99.42,  0.58
000194a69427d6886db4,0, 99.09,  0.91
00019434925c9ad3129d,0, 99.26,  0.74
0001bb499037f7a36c84,0, 99.09,  0.91
0001791053f6d163b919,0, 98.65,  1.35
000165f598dc45301696,1,  2.54, 97.46
0001c0eac59ef28ffe75,1,  8.05, 91.95
0001b6012460ef16d005,0, 98.90,  1.10
000124c6a3a1971ae4b5,0, 98.27,  1.73
0001814e64f7f5e06ad9,0, 99.66,  0.34
0001fa20555dc46a3a56,0, 99.43,  0.57
000159d2b558230a9fcf,0, 99.66,  0.34
0001452876cde0330eb4,0, 99.44,  0.56
0001f711f675e011af88,0, 99.69,  0.31
0001390f363473b3ebea,0, 99.41,  0.59
0001e756576057ae9626,0, 99.58,  0.42
0001fabca35af1170809,0, 99.48,  0.52
000197f18d6992720cd9,0, 99.29,  0.71
000179f47d6158316ec1,0, 98.93,  1.07
00012303df02e65324dc,0, 95.60,  4.40
0001b41cfe4835e8c771,0, 99.03,  0.97
00016c09e6f5557eab4f,0, 98.83,  1.17
0001635aa09f7d63bbfd,0, 88.89, 11.11
00015247d05f52c6ff53,0, 88.25, 11.75
00016aecdaa56e795347,0, 99.15,  0.85
0001d1ea1bc4ab7a19d7,0, 98.74,  1.26
0001c716dc9e2d276af9,0, 99.14,  0.86
000161419b054136f92b,0, 98.74,  1.26
000107e0f38018709439,1, 35.75, 64.25
00012cdabdca76cafcfc,1,  4.42, 95.58
00016ffaa865618f1d33,0, 99.44,  0.56
00013acca1e79d2ff080,0, 99.59,  0.41
000130d051b5530c22c1,0, 93.92,  6.08
00010003fbc3d7a88c91,0, 98.15,  1.85
00015312db67de707e32,0, 98.49,  1.51
0001d018d6cd0b2e66da,0, 98.49,  1.51
0001636dd8676929bea3,0, 98.38,  1.62
00010574399516f1b72b,0, 99.07,  0.93
000154c9dc093e7cae28,0, 99.59,  0.41
0001dbfb9e6c6a2218b2,0, 91.31,  8.69
0001ed356890050ed8c8,0, 92.63,  7.37
000117c7e0bae42c027f,0, 99.26,  0.74
00014dff0a4a97ba4b81,1,  9.45, 90.55
00011470ad25b185aeed,1,  7.25, 92.75
000191ec20d52dc7ac92,1,  5.83, 94.17
0001c2daf82aea6b139b,0, 96.97,  3.03
0001ba3bc69bbea44e2b,1, 40.26, 59.74
000107d83240e159a224,0, 99.43,  0.57
000101c4f772577b26ba,0, 98.50,  1.50
0001bf8993ae744f47e6,0, 99.39,  0.61
00014a34eac2dc77f063,0, 99.40,  0.60
0001fcd48de75c8b169a,0, 98.80,  1.20
000147b5975491970659,0, 99.51,  0.49
000113cee92f4b99f070,0, 98.57,  1.43
0001dbd713391b049482,0, 98.24,  1.76
000186fdabcf9edd5ae0,1, 12.39, 87.61
00018e1035e49b76c12f,1, 10.33, 89.67
0001387ae1e49e511b9f,1,  7.81, 92.19
00010deeb7afe1618241,0, 99.01,  0.99
00018ac8408165d34a13,0, 99.09,  0.91
0001e9a406e4179fd994,0, 98.05,  1.95
0001670526d0c8d3db79,0, 99.25,  0.75
0001f83c042b7a943a88,0, 99.30,  0.70
00018a94d61cde45aceb,0, 99.40,  0.60
000102c20eb729df08c0,0, 99.36,  0.64
000140b1ce08e6fda6d5,0, 99.67,  0.33
00011f2814dbeda4dabe,1, 39.51, 60.49
0001622031520b3a6352,0, 99.69,  0.31
0001d783e91be81de647,0, 99.58,  0.42
0001b9d9e91bb792a3a2,0, 99.26,  0.74
00019703a75825f8348a,0, 98.70,  1.30
00011f578c2bd9733ebd,0, 99.07,  0.93
0001ea02ca2fa2ad2e0c,1,  9.09, 90.91
00013cccdc54f8a1fa76,1,  5.06, 94.94
000160ad3baccc981873,0, 99.04,  0.96
0001b596076e23d3fc70,0, 99.30,  0.70
0001b22d35d444f918b5,0, 99.17,  0.83
0001e199f47d5d48390f,0, 98.54,  1.46
00015ff191622fd571c0,0, 97.88,  2.12
00011a67b3b90bc6318c,1, 26.69, 73.31
0001354dd2fcc47eaae6,0, 99.45,  0.55
0001d2bbc11d2b3fb37e,0, 99.40,  0.60
0001a27c97fa21713740,0, 95.93,  4.07
0001045920a5f922791e,0, 99.31,  0.69
00019259d6b7b7986b0d,1, 30.45, 69.55
00015f0fe60899d04e0f,0, 98.85,  1.15
00018618ed144fed5757,1, 40.74, 59.26
000102ea25d4b9cff904,0, 99.31,  0.69
0001522752742502c850,0, 98.81,  1.19
00016db84dd710dd3583,0, 93.93,  6.07
0001806c9746eecaaddd,0, 99.28,  0.72
0001ac4c9479221825c1,0, 98.58,  1.42
0001a7c2e2be19dda953,0, 99.17,  0.83
000142c188621d6a5a24,0, 99.24,  0.76
0001e69f293863a172e2,0, 99.21,  0.79
00014af9c0fd14c90cc8,0, 99.39,  0.61
00014c684fa0181eb2aa,0, 98.84,  1.16
0001017642b27eb02933,0, 99.25,  0.75
0001116d97ee7a0691e1,0, 98.62,  1.38
00011564bcbb41e67e8b,0, 99.31,  0.69
00015820ea12ce60d32d,1, 37.21, 62.79
0001d95c55c64ef27d28,0, 99.32,  0.68
000141ccfed9be3c2744,0, 99.65,  0.35
00010de5c4e5b56f4348,0, 98.96,  1.04
00019f065a10967dad85,1, 35.18, 64.82
0001a6145ba53c571c67,0, 99.42,  0.58
00011376cf8860023d09,0, 99.01,  0.99
000104fa63db8cd8a6ac,1, 41.97, 58.03
0001315da0e26ed59392,0, 98.98,  1.02
00015232a8ba5a3467e9,0, 98.83,  1.17
0001e4d74d8dc557c66b,0, 99.23,  0.77
000143ea61ec912a34fc,1, 29.05, 70.95
0001f066d9537983a83a,0, 99.15,  0.85
000161dfdaff891fcbe4,0, 98.44,  1.56
0001cde20981970226fc,0, 96.70,  3.30
0001e02079b2e2cb0359,0, 97.84,  2.16
0001bfab4254d5553a5d,0, 99.33,  0.67
0001316a67172c72b590,0, 99.05,  0.95
000127226cafd7c73e4a,0, 98.16,  1.84
000141b2cfff46b24ccb,1, 23.34, 76.66
00010239d78dadfbeed9,0, 97.42,  2.58
00019183e1519eadd6df,1,  9.41, 90.59
00018aa26f7a121ccc15,1, 23.70, 76.30
0001fa9967d317410bee,0, 98.48,  1.52
000151a58de4e60536f9,0, 94.47,  5.53
000123c1fff357861677,1, 10.39, 89.61
0001da9eed0e393c1f92,0, 96.37,  3.63
00018420aa2cc22acdc8,0, 98.89,  1.11
00019d5499686ddece4c,0, 97.46,  2.54
0001d2661018167398fd,0, 97.42,  2.58
0001a64c9eb00f0dd555,0, 98.62,  1.38
0001c2e1b558f007d948,1, 12.71, 87.29
00015aa2cd8a5fd26f43,0, 98.81,  1.19
0001cbea8ce1fe1236a0,0, 99.09,  0.91
0001aa32ebd13aff2230,0, 99.03,  0.97
00011f5fcf8e016e4976,1,  4.19, 95.81
00013ab13de6c6005e61,0, 96.08,  3.92
0001dd674cb47336717b,1, 28.85, 71.15
0001c098dc35e3849535,1,  5.77, 94.23
0001bfafba8d07bfb3de,1, 13.12, 86.88
0001c81c9bb734d61132,0, 97.75,  2.25
0001e9f775a39597f431,0, 97.02,  2.98
0001f25baac9ff723020,0, 98.97,  1.03
0001f00fba161d3446f9,0, 98.50,  1.50
00017895947e56e8b258,1,  2.31, 97.69
000122241fd759d62797,0, 99.36,  0.64
0001bceadc2757a7e6e2,0, 98.38,  1.62
00010ef35778182afb19,0, 98.71,  1.29
00018aa992b9f6890970,1,  9.39, 90.61
0001b52ea5cbc1b00668,0, 98.69,  1.31
0001a1fd07e859e2c24c,1, 19.39, 80.61
00017b41212d35a5c0e5,0, 97.13,  2.87
0001874a8a34a788e44e,0, 98.47,  1.53
0001ac418846823c1038,0, 98.79,  1.21
00018ee145ffeb15b023,0, 98.53,  1.47
00019e5a7ec498cd35e6,0, 98.35,  1.65
000123ab43bf3d26975d,1,  8.50, 91.50
00011c680ebe4c1a634b,0, 98.63,  1.37
00013e00be95d95f0a3d,0, 99.23,  0.77
000115079daea0b37df4,0, 99.24,  0.76
0001ddd59c8327d05fae,0, 99.16,  0.84
000185a81d630affdc7a,0, 99.07,  0.93
00018ec2bd212e7de3c9,0, 97.98,  2.02
0001c457ccf86932b226,0, 99.49,  0.51
0001227fce7ae353e437,0, 99.38,  0.62
000149017a3b0a89a72a,0, 99.36,  0.64
00010de924c659eda0dd,1, 28.21, 71.79
0001246943c6b1cd1be7,1,  7.90, 92.10
0001b4aecfa07595799e,0, 98.58,  1.42
0001a0467a100eb8919b,0, 99.37,  0.63
00010ee79ff1c363da06,0, 98.62,  1.38
0001dd5131d63425f286,0, 99.20,  0.80
0001da6fdfbd89a57600,0, 98.91,  1.09
00017a241c7aa6755ae6,0, 96.61,  3.39
0001648afbf18dd75085,0, 93.86,  6.14
00019e823b124e4246f8,0, 99.38,  0.62
00012d81eac27bad9940,0, 99.42,  0.58
0001ae88d5a16baa25f8,0, 99.24,  0.76
0001f546f2d9a34f1337,0, 99.40,  0.60
0001b73ae0d32c2d5eac,0, 98.93,  1.07
0001c4dbd3685d0779ab,0, 99.12,  0.88
0001c5000641d07e8068,0, 93.58,  6.42
00012510638124639115,0, 96.33,  3.67
0001a983a2d1ff4ff93f,0, 95.71,  4.29
0001847b794c2091126b,0, 98.60,  1.40
00012e235e87f7952af2,0, 99.31,  0.69
0001f8d005aac4dc0196,0, 99.15,  0.85
00017a34e0f0d8d880f9,0, 89.37, 10.63
0001429c4862fe12d902,0, 65.21, 34.79
0001651141f10a2beed2,0, 99.00,  1.00
0001451ec188de8f987e,0, 99.14,  0.86
000103beb0f1ac4d7dc5,0, 99.38,  0.62
000176c9dbcc3b83c3f3,0, 98.67,  1.33
0001ba1c1bd09b9bb487,1, 17.42, 82.58
00018298edb7979be5b1,0, 98.15,  1.85
0001251f784296b001a5,1,  0.24, 99.76
000177656d4636d2d77a,0, 97.91,  2.09
00016e8a2a0f75c75738,1,  3.20, 96.80
000194b339f2392086f8,0, 98.72,  1.28
0001e8361381c5c982ed,0, 97.34,  2.66
0001ca19d73152203785,1, 18.06, 81.94
00017bb34dfeefc1772f,1, 23.77, 76.23
00012daa8cbca46cb7d2,1,  9.51, 90.49
000118905a05a658b856,0, 99.41,  0.59
0001dbd9ebb18b1614f0,0, 99.61,  0.39
000164b4b7bc87524a4e,0, 98.70,  1.30
000148eb6527c265527b,1,  4.02, 95.98
0001d6c05bafd14ee2cf,0, 99.21,  0.79
00013fd88a6edc2dc095,1,  4.77, 95.23
0001a2011caa9ec611ce,0, 99.27,  0.73
0001e23b01d9f4907e78,0, 99.46,  0.54
00018057d0206c631b27,0, 99.52,  0.48
00015a6c19596f0a571c,0, 98.62,  1.38
000165046d315af77ce5,0, 98.96,  1.04
0001fab81f2cc695da34,0, 99.25,  0.75
000111690a930bbdb0c6,0, 98.65,  1.35
00015958d4da9f6d54be,0, 99.31,  0.69
0001fd0094e9d1866118,1,  8.88, 91.12
0001adb92a24889f8e22,0, 96.31,  3.69
0001e479f85c09f5b031,0, 98.81,  1.19
00014bc95457c141bf1c,0, 99.40,  0.60
00018947022c44a4a178,0, 99.33,  0.67
0001c1b993f8004846ee,0, 99.07,  0.93
0001a18dd7e7e0ee7557,1, 43.40, 56.60
00019a0a07e762983497,1,  7.69, 92.31
00013e53e05fb70d3810,0, 99.51,  0.49
0001c8c3024880d1b2ba,0, 96.10,  3.90
0001b66c3aec0fd09944,0, 99.44,  0.56
0001646562e55c8e4e96,0, 99.36,  0.64
000147bd09a64f97dffd,0, 99.36,  0.64
0001b4014bf4af0b86ca,0, 99.58,  0.42
00018749c1f4d470915b,0, 99.49,  0.51
000146bcc774a5d9bd40,0, 99.46,  0.54
0001a41d7ec6acc98f04,1, 13.03, 86.97
0001af56d154d794dba3,0, 99.12,  0.88
00012aab7e8db322161b,0, 98.68,  1.32
000103eebbcbb91731c2,0, 97.40,  2.60
0001e0041316f9297e1d,0, 99.54,  0.46
0001f8e28b23b9b91c8f,0, 99.56,  0.44
00019daa55b7c4bd5e6a,0, 98.50,  1.50
0001edfba0cb7872aaa9,1,  5.24, 94.76
0001265cf96125f64965,0, 99.20,  0.80
0001be8882b642980f6b,1,  2.25, 97.75
0001d396200b2f53c8fc,0, 99.35,  0.65
00013dbfa5a3b4b0e015,0, 99.15,  0.85
0001cc613214885acafb,0, 99.42,  0.58
0001cfdf20ae4c452759,0, 99.43,  0.57
00018bcb0b14db14c0c6,0, 99.34,  0.66
0001d6fa7d990f865939,0, 98.69,  1.31
0001555ffe7a98cbd57d,0, 99.08,  0.92
0001162a8e93346f5e0d,0, 96.82,  3.18
0001a637b47c6c164b1a,1,  9.90, 90.10
0001436283b1106500d0,0, 93.77,  6.23
000147efb8b6e836aa6a,0, 98.85,  1.15
0001d99b4f81f0bc24d6,0, 99.59,  0.41
00012c2756f4066fe565,0, 99.17,  0.83
000112636a0bb87deb6f,0, 99.05,  0.95
00019412fcc872dab22a,0, 99.08,  0.92
000180af03c5fe36546b,0, 96.37,  3.63
000138b5bfd9e2ac1164,0, 99.15,  0.85
000121847ec940fd95c3,0, 98.98,  1.02
0001959e2c445a37b6e9,0, 94.57,  5.43
00015b81f006fb92fef6,0, 99.49,  0.51
0001a30ae9e8e3c88e3f,0, 98.10,  1.90
00018dfb04d974ec6ab3,0, 98.18,  1.82
0001b19d2f680ed46d50,0, 98.64,  1.36
0001fc3c64f84f4dc9ff,0, 99.40,  0.60
0001887a3c16853a60b8,0, 99.30,  0.70
0001c30b0b2ad145ad1b,0, 88.38, 11.62
00018f70825786b19ae3,0, 85.85, 14.15
0001a1cf46834f5ccf38,0, 99.66,  0.34
0001ff0be5d833bdb82d,0, 99.47,  0.53
0001669246ea85639779,1,  7.61, 92.39
0001032b2e67704996ed,0, 99.17,  0.83
00012f0b42f4bf32d511,0, 96.21,  3.79
0001183ffad35b102089,0, 96.59,  3.41
000174501200de1e0f72,0, 97.94,  2.06
000159a46e995fe1fe2e,0, 97.95,  2.05
00010a4d7bc9cd29ef4c,0, 99.42,  0.58
000154fb9c35c224b86b,0, 99.24,  0.76
00012129673ffe6f60b8,1, 20.11, 79.89
00012381a3e92c004449,0, 98.04,  1.96
0001013ba341df89c9fb,0, 98.90,  1.10
00014425796a70ef2573,0, 99.48,  0.52
0001b47eba9643a76f2d,0, 99.49,  0.51
000189c319dbc5e2fe02,0, 99.37,  0.63
0001b757811177b411f6,0, 99.52,  0.48
0001bd86362a32a69b03,0, 99.48,  0.52
000151e68676d25d0274,0, 99.52,  0.48
000124cbf065feeef75e,0, 99.22,  0.78
0001d1a2b1be521bc0d6,0, 98.70,  1.30
00016061452d961d7c8f,0, 99.69,  0.31
00015535394f058acb3b,1, 12.66, 87.34
00019b6305784c28b3a9,0, 98.67,  1.33
0001a5fab8ec0dbc9866,0, 99.64,  0.36
000104a684b8120e6449,0, 99.56,  0.44
0001523476295408a94a,1, 14.71, 85.29
0001bef16d419a85b0cb,0, 98.92,  1.08
00014d44ffbae2ae6177,0, 97.31,  2.69
00011e7b16c785658e67,0, 99.09,  0.91
0001bdb9ce40a802ddaa,0, 98.73,  1.27
00016936442ab2854fef,0, 98.94,  1.06
00014a7d60a42f70df2c,0, 96.17,  3.83
0001708556d5624a3e13,0, 99.25,  0.75
0001b0796683d8b56b2c,0, 98.66,  1.34
00012205e76449b02280,0, 98.04,  1.96
000128e93e87490934db,0, 99.58,  0.42
0001ccacd61b66bd2bc0,0, 97.74,  2.26
0001fb6236858f0aafad,0, 98.63,  1.37
00013d3af2e61bf388cb,0, 98.97,  1.03
0001fea72a90df5b35e8,0, 99.61,  0.39
00016464b934b8532b7e,1, 12.54, 87.46
